price,price,price
mean,min,max
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.0,8.0,8.0
8.333333333333334,8.0,9.0
8.333333333333334,8.0,9.0
8.5,7.0,10.0
8.5,8.0,9.0
8.5,8.0,9.0
8.5,8.0,9.0
8.5,8.0,9.0
8.6,8.0,9.0
8.6,8.0,9.0
8.666666666666666,8.0,10.0
8.666666666666666,8.0,9.0
8.666666666666666,8.0,10.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,8.0,10.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,8.0,10.0
9.0,9.0,9.0
9.0,9.0,9.0
9.0,9.0,9.0
